,,,,
Anfíbio,Armadura Natural,Armadura Mística,Sentidos Aprimorados,Velocidade Aprimorada
Ataque Oportunista,Mobilidade,Perfurar O Corpo,Predador,Rabada
Drenar Vitalidade,Energia Profana,Ferida Purulenta,Muralha De Ossos,Resquício Final
Absorver Energia,Atravessar Os Planos,Espelho Entre Os Planos,Perfurar O Véu,Supremacia Arcana
Armadilhas Elementais,Aura Elemental,Corrosão Elemental,Furor Elemental,Sobrecarga Elemental
Carapaça Demoníaca,Correntes Abissais,Gula,Inveja,Preguiça
A Benção,Farol De Ofir,Fogo Sagrado,O Arauto,Presença Da Humildade
Contra Ataque,Ignorar Defesas,Minúsculo,Resistência Incomum,Voar
Ataque Carregado,Corpo Espinhoso,Investida Feroz,Selvageria,Venenoso
Amaldiçoar O Véu,Drenar Essência,Energia Fantasma,Eternidade,Forma Apavorante
Banho De Sangue,Decreto Do Véu,Instabilidade Arcana,Ligação Mística,Manipulador Dos Espelhos
Esfera Elemental,Corrente Elemental,Essência Elemental,Evocação Elemental,Zona Elemental
Amedrontar,Espalhar O Sofrimento,Ira,Perturbação Sombria,Tentáculos Abissais
A Outra Face,Lampejo Celestial,O Caminho Do Penitente,O Equilíbrio,O Ungido
Ataque Duplo,Colosso,Longevidade,Sobrevivente,Véu Abundante
Aspecto Feroz,Carapaça Venenosa,Corpo Robusto,Peçonha,Pulverizar
Abraço Da Noite,Etéreo,Lança Óssea,Presença Do Ceifador,Vínculo Maldito
Adaptação Arcana,Avatar Das Forças Místicas,Fantoche,Mímico Dos Planos,Refazer A Matriz
Andarilho Dos Planos Elementais,Avatar Elemental,Corpo Elemental,Encarnação Prismática,Forças Elementais
Ganância,O Ascendido,Obstrutor De Caminhos,Orgulho,Purificação Sombria
A ÚLtima Trombeta,Lança Do Juiz,O Caído,O Peso Da Verdade,Retribuição Celestial
Ação Múltipla,Desafiador De Auroria,Evolução Soberana,Incontrolável,Vontade Ancestral
Aberração,Corpo De Escamas,Frenesi Selvagem,Líder Do Bando,Presença Aterradora
A Colheita,Demi Vida,Implodir Carcaça,Horda Dos Mortos,Possessão
Caminhante Do Véu,Fragmentado Pelo Véu,Orbe Da Destruição,Proteção Mística,Redoma Mística
Cataclisma Elemental,,,,
Anfitrião Dos Pesadelos,Arauto Do Abismo,Lúxuria,O ÚLtimo Lamento,Senhor Dos Pecadores
A Palavra Impronunciável,As Chaves E O Cubo,O Escolhido,O Sol Seletor,Sentença De Ofir
